timestamp,range_uwb,variance
13.639999999999986,6.886894702911377,0.22
13.740000000000009,6.889845371246338,0.22
13.840000000000032,6.813899040222168,0.22
13.939999999999998,6.889881610870361,0.22
14.04000000000002,6.959765434265137,0.22
14.139999999999986,6.846825122833252,0.22
14.240000000000009,6.813462734222412,0.22
14.340000000000032,6.786942958831787,0.22
14.439999999999998,6.833498001098633,0.22
14.54000000000002,6.876704692840576,0.22
14.639999999999986,6.848464488983154,0.22
14.740000000000009,6.835471153259277,0.22
14.840000000000032,6.853261947631836,0.22
14.939999999999998,6.897328853607178,0.22
15.04000000000002,6.839532375335693,0.22
15.139999999999986,6.88018798828125,0.22
15.240000000000009,6.873262405395508,0.22
15.340000000000032,6.901559352874756,0.22
15.439999999999998,6.94804048538208,0.22
15.54000000000002,6.850220680236816,0.22
